ID,Customer_Id,Invoice_Id,Job_Id,Type,Date,Amount,Taxable,Void,Reference
110311,46517,83621,,INV,2003-06-25 00:00:00,724.51,True,False,
110312,51017,83221,,INV,2003-06-16 00:00:00,5326.5,True,False,
110313,56017,24525,,INV,2003-05-27 00:00:00,102.03,True,False,
110314,56017,82687,,INV,2003-06-02 00:00:00,76.75,True,False,
110315,56017,24920,,INV,2003-06-05 00:00:00,98.19,True,False,
110316,56017,24570,,INV,2003-06-17 00:00:00,113.02,True,False,
110317,56017,83320,,INV,2003-06-18 00:00:00,333.9,True,False,
110318,56017,83429,,INV,2003-06-20 00:00:00,40.01,True,False,
110319,56017,83579,,INV,2003-06-24 00:00:00,11.26,True,False,
110320,56017,83583,,INV,2003-06-25 00:00:00,22.26,True,False,
110321,46617,00000,,INT,2003-06-30 00:00:00,76.27,False,False,
110322,47517,00000,,INT,2003-06-30 00:00:00,61.53,False,False,
110323,60017,82946,,INV,2003-06-07 00:00:00,307.5,False,False,
110324,60017,83540,,INV,2003-06-24 00:00:00,260,False,False,
110325,66017,82646,,INV,2003-05-30 00:00:00,116.6,True,False,
110326,67017,82788,,INV,2003-06-04 00:00:00,264.22,True,False,
110327,73008,81465,,INV,2003-04-28 00:00:00,27.14,True,False,
110328,73008,81999,,INV,2003-05-13 00:00:00,66.46,True,False,
110329,73008,82187,,INV,2003-05-15 00:00:00,45.46,True,False,
110330,73008,82278,,INV,2003-05-20 00:00:00,107.01,True,False,
110331,73108,81691,,INV,2003-05-05 00:00:00,26.87,True,False,
110332,73108,81731,,INV,2003-05-06 00:00:00,67.91,True,False,
110333,73108,82296,,INV,2003-05-20 00:00:00,71.86,True,False,
110334,73108,82363,,INV,2003-05-22 00:00:00,102.26,True,False,
110335,17510,82300,,INV,2003-05-22 00:00:00,51.2,True,False,
110336,20010,81464,,INV,2003-04-28 00:00:00,478.31,True,False,
110337,20010,81603,,INV,2003-05-02 00:00:00,13.17,True,False,
110338,20010,81635,,INV,2003-05-02 00:00:00,18.03,True,False,
110339,20010,81998,,INV,2003-05-13 00:00:00,580.38,True,False,
110340,20010,24503,,INV,2003-05-14 00:00:00,632.48,True,False,
110341,22810,81837,,INV,2003-05-08 00:00:00,21.86,False,False,
110342,22810,82264,,INV,2003-05-19 00:00:00,694.85,False,False,
110343,37510,81787,,INV,2003-05-07 00:00:00,37.2,False,False,
110344,37510,81892,,INV,2003-05-09 00:00:00,118.99,False,False,
110345,20510,82460,,INV,2003-05-24 00:00:00,211.21,True,False,
110346,45011,82135,,INV,2003-05-16 00:00:00,40.23,True,False,
110347,45011,82222,,INV,2003-05-19 00:00:00,167.5,True,False,
110348,47011,81564,,INV,2003-05-01 00:00:00,899.25,True,False,
110349,47011,81825,,INV,2003-05-08 00:00:00,63.6,True,False,
110350,47011,81902,,INV,2003-05-10 00:00:00,510.7,True,False,
110351,47011,82078,,INV,2003-05-15 00:00:00,1088.69,True,False,
110352,47011,82271,,INV,2003-02-20 00:00:00,115.74,True,False,
110353,47011,82351,,INV,2003-05-21 00:00:00,2009.87,True,False,
110354,47011,82437,,INV,2003-05-24 00:00:00,1812.6,True,False,
110355,84011,81429,,INV,2003-04-28 00:00:00,42.73,True,False,
110356,12512,82280,,INV,2003-05-20 00:00:00,53.83,True,False,
110357,18512,81873,,INV,2003-05-08 00:00:00,49.18,True,False,
110358,18512,82071,,INV,2003-05-15 00:00:00,113.63,True,False,
110359,22512,81546,,INV,2003-04-30 00:00:00,40.25,True,False,
110360,30512,81468,,INV,2003-04-29 00:00:00,2540,False,False,
110361,22112,81479,,INV,2003-04-29 00:00:00,108.97,True,False,
110362,22112,81549,,INV,2003-04-30 00:00:00,27.98,True,False,
110363,32012,81709,,INV,2003-05-05 00:00:00,9.3,True,False,
110364,23312,82433,,INV,2003-05-24 00:00:00,231.09,True,False,
110365,5014,81598,,INV,2003-05-01 00:00:00,12.1,True,False,
110366,7014,81554,,INV,2003-04-30 00:00:00,2329.35,True,False,
110367,7014,82226,,INV,2003-05-19 00:00:00,346.09,True,False,
110368,7014,81769,,INV,2003-05-07 00:00:00,307.4,True,False,
110369,7014,,,PMT,2003-05-14 00:00:00,2840.04,False,False,
110370,14214,82057,,INV,2003-05-14 00:00:00,764.01,True,False,
110371,14214,82382,,INV,2003-05-22 00:00:00,138.48,True,False,
110372,14514,81486,,INV,2003-04-29 00:00:00,166.41,True,False,
110373,14514,81552,,INV,2003-04-30 00:00:00,247.41,True,False,
110374,14514,81778,,INV,2003-05-07 00:00:00,58.15,True,False,
110375,14514,82062,,INV,2003-05-14 00:00:00,32.97,True,False,
110376,14514,82082,,INV,2003-05-15 00:00:00,156.09,True,False,
110377,14514,82138,,INV,2003-05-16 00:00:00,92.46,True,False,
110378,14514,82371,,INV,2003-05-22 00:00:00,20.22,True,False,
110379,14514,82412,,INV,2003-05-23 00:00:00,5.6,True,False,
110380,15914,24519,,INV,2003-05-19 00:00:00,566.57,True,False,
110381,21014,81594,,INV,2003-05-01 00:00:00,337.33,False,False,
110382,22014,81975,,INV,2003-05-12 00:00:00,101.43,False,False,
110383,22214,82354,,INV,2003-05-22 00:00:00,1296.72,False,False,
110384,22214,82468,,INV,2003-05-26 00:00:00,6590.92,False,False,
110385,24014,82381,,INV,2003-05-22 00:00:00,28.41,True,False,
110386,25014,81580,,INV,2003-05-01 00:00:00,49.99,False,False,
110387,25014,81617,,INV,2003-05-02 00:00:00,108.02,False,False,
110388,27014,81934,,INV,2003-05-12 00:00:00,119.7,False,False,
110389,26014,81996,,INV,2003-05-13 00:00:00,10.7,False,False,
110390,28014,82301,,INV,2003-05-20 00:00:00,27.76,True,False,
110391,28714,82362,,INV,2003-05-22 00:00:00,206.06,True,False,
110392,44020,81704,,INV,2003-05-05 00:00:00,842.7,True,False,
110393,44020,81730,,INV,2003-05-06 00:00:00,1568.27,True,False,
110394,44020,81942,,INV,2003-05-12 00:00:00,842.7,True,False,
110395,44020,81941,,INV,2003-05-12 00:00:00,1319.7,True,False,
110396,44020,81940,,INV,2003-05-12 00:00:00,1319.7,True,False,
110397,44020,81939,,INV,2003-05-12 00:00:00,1506.26,True,False,
110398,44020,81936,,INV,2003-05-12 00:00:00,1741.47,False,False,
110399,44020,81980,,INV,2003-05-13 00:00:00,2473.01,False,False,
110400,44020,82068,,INV,2003-05-14 00:00:00,2249.98,False,False,
110401,44020,82323,,INV,2003-05-21 00:00:00,1443.19,False,False,
110402,44020,82375,,INV,2003-05-22 00:00:00,1741.47,False,False,
110403,44020,82467,,INV,2003-05-26 00:00:00,2888.99,False,False,
