ledger_id,customer_id,statement_date,ledger_date,amount,type_id,reference,ledger_order
61705,37004,12/1/2024,11/9/2024,446.71,1,,84183
61707,11502,12/1/2024,11/7/2024,-14.55,1,,84170
61726,55001,12/1/2024,11/9/2024,436,2,,84166
61730,18027,12/1/2024,11/9/2024,219.95,2,,84249
61740,2205,12/1/2024,11/5/2024,6192.78,1,,84193
61742,2205,12/1/2024,11/12/2024,767.07,1,,84192
61747,11502,12/1/2024,11/12/2024,496.34,1,,84171
61748,11502,12/1/2024,11/12/2024,154.36,1,,84172
61755,15007,12/1/2024,11/13/2024,1442.9,1,,84188
61756,2205,12/1/2024,11/13/2024,256.97,1,,84194
61757,28204,12/1/2024,11/13/2024,323.07,1,adder,84179
61761,28204,12/1/2024,11/8/2024,964.1,1,adder,84180
61782,11111,12/1/2024,11/18/2024,297.72,1,,84199
61786,40004,12/1/2024,11/18/2024,4103.36,1,74 culvers,84184
61787,40004,12/1/2024,11/18/2024,6156.05,1,74 culver,84185
61788,40004,12/1/2024,11/18/2024,1604.07,1,74 culver,84186
61799,28204,12/1/2024,11/12/2024,949.82,1,adder,84182
61801,2205,12/1/2024,11/12/2024,151.94,1,,84195
61822,40004,12/1/2024,11/21/2024,1017.2,1,74 culver,84187
61835,4810,12/1/2024,11/25/2024,853,1,,84196
61839,18027,12/1/2024,11/18/2024,41.72,2,,84250
61855,28204,12/1/2024,11/27/2024,1030,1,adder,84181
61276,7521,11/1/2024,9/25/2024,234.04,1,,84104
61284,16012,11/1/2024,9/26/2024,103.96,1,,84107
61286,18027,11/1/2024,9/26/2024,107.78,2,,84115
61298,18027,11/1/2024,9/23/2024,122.19,2,,84116
61310,7521,11/1/2024,10/1/2024,452.77,1,,84105
61326,16012,11/1/2024,10/2/2024,121.29,1,,84108
61350,41220,11/1/2024,10/4/2024,98.04,1,,84099
61351,16012,11/1/2024,10/4/2024,28.63,1,,84109
61363,43420,11/1/2024,10/4/2024,853,1,,84102
61372,9517,11/1/2024,10/5/2024,255.85,1,,84111
61417,12220,11/1/2024,10/10/2024,102.36,1,,84096
61426,16012,11/1/2024,10/11/2024,58,1,,84110
61440,18027,11/1/2024,10/14/2024,112.19,2,,84117
61454,18027,11/1/2024,10/15/2024,115.58,2,,84118
61475,45024,11/1/2024,10/16/2024,220,2,,84114
61480,43420,11/1/2024,10/16/2024,2825.56,1,,84103
61486,27323,11/1/2024,10/16/2024,140.75,1,,84113
61488,11122,11/1/2024,10/17/2024,431.51,1,,84106
61505,18027,11/1/2024,10/18/2024,501.83,2,,84119
61532,12220,11/1/2024,10/22/2024,488.57,1,,84097
61535,41220,11/1/2024,10/22/2024,217.99,1,,84100
61547,18027,11/1/2024,10/23/2024,150.3,2,,84120
61549,18027,11/1/2024,10/23/2024,24.6,2,,84121
61552,18027,11/1/2024,10/23/2024,-98.04,3,,84123
61555,18027,11/1/2024,10/24/2024,573.4,2,,84122
61556,12220,11/1/2024,10/24/2024,62.38,1,,84098
61594,41220,11/1/2024,10/28/2024,-2514.04,3,,84101
*61416,19114,11/1/2024,12/2/2024,-8500,1,retur/cash,84253
45438,28204,11/1/2024,10/4/2024,9849.8,1,,84016
45439,55001,11/1/2024,10/21/2024,29263.8,2,,84002
61280,66117,11/1/2024,9/25/2024,247.46,1,,84091
61281,12512,11/1/2024,9/25/2024,17.17,1,,84067
61288,66117,11/1/2024,9/26/2024,697.06,1,,84094
61294,2116,11/1/2024,9/27/2024,218.57,1,,84079
61296,40004,11/1/2024,9/30/2024,231.48,1,golf view,84036
